token_position,token_id,token,token_reward,old_critic_value,next_critic_value,discounted_next_value,stored_delta,recomputed_delta,stored_raw_advantage,recomputed_raw_advantage,stored_normalized_advantage,recomputed_normalized_advantage,stored_return,recomputed_return,final_critic_value
22,85976,Ġbiscuits,-0.0,3.109375,2.625,2.59875,-0.484375,-0.5106250000000001,-0.3608529,-0.585688508092861,0.035803,-0.1199265576509506,2.748522,2.523686491907139,2.875
23,198,Ċ,-0.0,2.625,-0.3867188,-0.38285161199999995,-3.0117188,-3.007851612,0.1300232,-0.08424636149591569,0.342039,0.2060918290940957,2.7550232,2.5407536385040843,2.390625
24,12549,Since,-0.0,-0.3867188,3.984375,3.94453125,4.3710938,4.3312500499999995,3.307097,3.2812629074119912,2.3240755,2.3942164410182505,2.9203782,2.894544107411991,-0.390625
25,1340,Ġshe,-0.0,3.984375,2.5,2.475,-1.484375,-1.509375,-1.1199968,-1.1784367481346893,-0.4377934,-0.505308652626171,2.8643782,2.8059382518653107,3.828125
26,3880,Ġneeds,-0.0,2.5,4.53125,4.4859375,2.03125,1.9859375000000004,0.383556,0.371423402766903,0.5002069,0.5023507743017235,2.8835559,2.871423402766903,2.296875
27,220,Ġ,-0.0,4.53125,2.765625,2.73796875,-1.765625,-1.7932812500000002,-1.7344147,-1.8120248004860802,-0.8211017,-0.9172432219286762,2.7968354,2.71922519951392,4.3125
28,16,1,-0.0,2.765625,3.4375,3.403125,0.671875,0.6375000000000002,0.032853,-0.02103653253207638,0.2814188,0.24718842738579327,2.7984781,2.7445884674679237,2.625
29,220,Ġ,-0.0,3.4375,2.40625,2.3821875,-1.03125,-1.0553124999999999,-0.6726547,-0.7390982407767414,-0.1587164,-0.21966766218317213,2.7648454,2.6984017592232585,3.21875
30,16,1,-0.0,2.40625,3.265625,3.23296875,0.859375,0.82671875,0.3774686,0.35489815849972894,0.4964094,0.4916066964193305,2.7837186,2.761148158499729,2.265625
31,14,/,-0.0,3.265625,2.421875,2.39765625,-0.84375,-0.8679687500000002,-0.5072699,-0.5295405067343109,-0.05554,-0.08342128790826421,2.7583551,2.736084493265689,3.046875
32,19,4,-0.0,2.421875,3.96875,3.9290625,1.546875,1.5071875000000001,0.3541896,0.37982967818820357,0.4818866,0.5078162110823893,2.7760646,2.8017046781882033,2.328125
33,25374,Ġcups,-0.0,3.96875,3.171875,3.14015625,-0.796875,-0.82859375,-1.2554584,-1.2652725272859668,-0.5223019,-0.5617659345335173,2.7132916,2.703477472714033,3.828125
34,315,Ġof,-0.0,3.171875,2.078125,2.05734375,-1.09375,-1.1145312500000002,-0.4827194,-0.49009963780692134,-0.0402241,-0.05777835273260203,2.6891556,2.6817753621930787,2.96875
35,19828,Ġflour,-0.0,2.078125,3.765625,3.72796875,1.6875,1.64984375,0.6431901,0.700821113572479,0.6621813,0.7165124896723785,2.7213151,2.778946113572479,1.9140625
36,311,Ġto,-0.0,3.765625,3.046875,3.01640625,-0.71875,-0.7492187499999998,-1.0992736,-1.0651208040712918,-0.4248651,-0.431634986527786,2.6663513,2.7005041959287084,3.578125
37,1281,Ġmake,-0.0,3.046875,3.546875,3.51140625,0.5,0.46453124999999984,-0.4005511,-0.35454775990043996,0.0110371,0.030352261846259842,2.6463239,2.69232724009956,2.859375
38,220,Ġ,-0.0,3.546875,3.28125,3.2484375,-0.265625,-0.2984374999999999,-0.9479485,-0.9192805947255216,-0.33046,-0.3368152947724271,2.5989265,2.627594405274478,3.3125
39,24,9,-0.0,3.28125,2.796875,2.76890625,-0.484375,-0.5123437499999999,-0.7182353,-0.696793596773874,-0.1871521,-0.19216281065994292,2.5630147,2.584456403226126,3.09375
40,85976,Ġbiscuits,-0.0,2.796875,3.875,3.83625,1.078125,1.0393750000000002,-0.2461687,-0.2070144183769631,0.1073495,0.12627276298684523,2.5507064,2.5898605816230367,2.578125
41,11,",",-0.0,3.875,4.0625,4.021875,0.1875,0.14687499999999964,-1.3939934,-1.3988657894242011,-0.6087278,-0.6486231325131746,2.4810066,2.4761342105757986,3.71875
42,1340,Ġshe,-0.0,4.0625,1.546875,1.53140625,-2.515625,-2.53109375,-1.6647298,-1.7348381475019088,-0.7776284,-0.8670594305283573,2.3977702,2.327661852498091,3.890625
43,3880,Ġneeds,-0.0,1.546875,3.9375,3.898125,2.390625,2.35125,0.8956791,0.8936650982021228,0.819698,0.8418922272734497,2.442554,2.440540098202123,1.421875
44,220,Ġ,-0.0,3.9375,2.046875,2.02640625,-1.890625,-1.91109375,-1.5736272,-1.635897757348908,-0.7207934,-0.8027321963688119,2.3638728,2.301602242651092,3.71875
45,16,1,-0.0,2.046875,4.40625,4.3621875,2.359375,2.3153125,0.3336818,0.30886194461402017,0.4690927,0.4616757217600893,2.3805568,2.35573694461402,1.9296875
46,220,Ġ,-0.0,4.40625,1.21875,1.2065625,-3.1875,-3.1996875,-2.1323087,-2.2519085919034567,-1.0693302,-1.2032387350829772,2.2739413,2.1543414080965433,4.21875
47,16,1,-0.0,1.21875,2.671875,2.64515625,1.453125,1.4264062499999999,1.1107277,1.0637249249119454,0.9538574,0.9524585821966285,2.3294778,2.2824749249119454,1.1328125
48,14,/,-0.0,2.671875,1.9609375,1.941328125,-0.7109375,-0.7305468749999999,-0.3604183,-0.407049747573574,0.0360742,-0.0037825101075257684,2.3114567,2.264825252426426,2.546875
49,19,4,-0.0,1.9609375,3.25,3.2175,1.2890625,1.2565624999999998,0.3689676,0.36307197242023115,0.4911059,0.4969209956779811,2.329905,2.324009472420231,1.75
50,25374,Ġcups,-0.0,3.25,2.6875,2.660625,-0.5625,-0.589375,-0.9685209,-1.0027952049155653,-0.3432943,-0.3911132804295532,2.2814791,2.2472047950844347,3.125
51,353,Ġ*,-0.0,2.6875,2.125,2.10375,-0.5625,-0.5837500000000002,-0.4273905,-0.4639957406459767,-0.0057068,-0.04080660335348511,2.2601094,2.2235042593540233,2.46875
52,220,Ġ,-0.0,2.125,1.453125,1.43859375,-0.671875,-0.6864062500000001,0.1422206,0.13440433148599717,0.3496484,0.3482500953475848,2.2672205,2.2594043314859973,1.90625
53,18,3,-0.0,1.453125,2.84375,2.8153125,1.390625,1.3621875,0.8569427,0.9212239971784482,0.7955321,0.8598099628401673,2.3100677,2.374348997178448,1.3046875
54,21,6,-0.0,2.84375,1.6640625,1.647421875,-1.1796875,-1.196328125,-0.5617709,-0.49490853290858805,-0.0895408,-0.060904911267243345,2.2819791,2.348841467091412,2.65625
55,85976,Ġbiscuits,-0.0,1.6640625,2.546875,2.52140625,0.8828125,0.8573437500000001,0.6504386,0.7872273760846373,0.6667033,0.772690516390036,2.314501,2.4512898760846373,1.5
56,14,/,-0.0,2.546875,0.4453125,0.440859375,-2.1015625,-2.106015625,-0.2446041,-0.07869402235169787,0.1083256,0.20970174633528496,2.3022709,2.468180977648302,2.390625
57,24,9,-0.0,0.4453125,2.40625,2.3821875,1.9609375,1.9368750000000001,1.9546931,2.2753328873718317,1.4803703,1.740199453141263,2.4000056,2.7206453873718317,0.2792969
58,85976,Ġbiscuits,-0.0,2.40625,4.0625,4.021875,1.65625,1.6156249999999996,-0.0065731,0.37986294878993454,0.2568226,0.5078378423472839,2.3996768,2.7861129487899348,2.25
59,284,Ġ=,-0.0,4.0625,3.546875,3.51140625,-0.515625,-0.5510937500000002,-1.7503401,-1.3869383290797588,-0.8310368,-0.6408683568010599,2.31216,2.675561670920241,3.78125
60,220,Ġ,-0.0,3.546875,3.90625,3.8671875,0.359375,0.3203125,-1.2997001,-0.9380971706843533,-0.5499024,-0.3490491083435365,2.2471747,2.6087778293156467,3.359375
61,16,1,-0.0,3.90625,5.0625,5.011875,1.15625,1.1056249999999999,-1.7463949,-1.4123565327546053,-0.8285756,-0.6573942946630229,2.1598551,2.4938934672453947,3.8125
62,220,Ġ,-0.0,5.0625,1.5,1.4849999999999999,-3.5625,-3.5775,-3.0554156,-2.826017432945685,-1.6452159,-1.5765022101276884,2.0070844,2.236482567054315,4.875
63,16,1,-0.0,1.5,3.46875,3.4340625,1.96875,1.9340625,0.5337732,0.8434147778387378,0.5939208,0.8092214027536658,2.0337732,2.3434147778387375,1.4921875
64,14,/,-0.0,3.46875,0.9140625,0.904921875,-2.5546875,-2.563828125,-1.510502,-1.2240715175771744,-0.6814124,-0.5349786235571938,1.958248,2.2446784824228256,3.25
65,19,4,-0.0,0.9140625,3.9375,3.898125,3.0234375,2.9840625,1.0991427,1.5036550027192208,0.94663,1.2384841889804048,2.0132051,2.4177175027192206,0.7929688
66,25374,Ġcups,-0.0,3.9375,3.0625,3.031875,-0.875,-0.9056250000000001,-2.0255735,-1.661512342627137,-1.0027428,-0.8193858139919511,1.9119265,2.275987657372863,3.765625
67,353,Ġ*,-0.0,3.0625,3.4375,3.403125,0.375,0.3406250000000002,-1.21113,-0.8483584092335992,-0.4946474,-0.2907044190603887,1.85137,2.214141590766401,2.84375
68,220,Ġ,-0.0,3.4375,2.921875,2.89265625,-0.515625,-0.5448437500000001,-1.6696106,-1.3344370474002236,-0.7806733,-0.6067340438571436,1.7678894,2.1030629525997764,3.203125
69,19,4,-0.0,2.921875,3.203125,3.17109375,0.28125,0.24921874999999982,-1.2147217,-0.8861877636366147,-0.4968881,-0.31529960950813324,1.7071533,2.035687236363385,2.78125
70,284,Ġ=,-0.0,3.203125,4.59375,4.5478125,1.390625,1.3446875,-1.574707,-1.2743058514440118,-0.7214671,-0.56763905427213,1.628418,1.9288191485559882,2.921875
71,220,Ġ,-0.0,4.59375,1.6484375,1.631953125,-2.9453125,-2.961796875,-3.1214023,-2.939386477490473,-1.6863821,-1.6502104001156106,1.4723477,1.6543635225095268,4.40625
72,20,5,-0.0,1.6484375,2.671875,2.64515625,1.0234375,0.9967187499999999,-0.1853576,0.025151961290153513,0.1452869,0.2772184085995795,1.4630799,1.6735894612901534,1.578125
73,25374,Ġcups,-0.0,2.671875,3.515625,3.48046875,0.84375,0.80859375,-1.2724159,-1.0904228829515672,-0.532881,-0.44808542451714334,1.3994591,1.5814521170484328,2.484375
74,315,Ġof,-0.0,3.515625,2.21875,2.1965625,-1.296875,-1.3190624999999998,-2.2275431,-2.1313317990477745,-1.1287428,-1.1248443445187186,1.2880819,1.3842932009522255,3.265625
75,19828,Ġflour,-0.0,2.21875,2.890625,2.86171875,0.671875,0.6429687500000001,-0.9796507,-0.9116378216024406,-0.3502377,-0.33184625780424404,1.2390993,1.3071121783975594,2.03125
76,198,Ċ,-0.0,2.890625,-1.65625,-1.6396875,-4.546875,-4.5303125,-1.7384481,-1.7447885203169928,-0.8236179,-0.8735287800130406,1.1521769,1.1458364796830072,2.671875
77,19357,Final,-0.0,-1.65625,3.15625,3.1246875,4.8125,4.7809375,2.9562387,3.126289539487101,2.1051905,2.2934587210256185,1.2999887,1.470039539487101,-1.65625
78,4226,Ġanswer,-0.0,3.15625,0.2148438,0.212695362,-2.9414062,-2.943554638,-1.9539592,-1.8570684180840618,-0.9580658,-0.946528848679669,1.2022908,1.2991815819159382,2.90625
79,25,:,-0.0,0.2148438,4.375,4.33125,4.1601562,4.1164062,1.039418,1.2194009202199085,0.9093704,1.0536731234745609,1.2542617,1.4342447202199085,0.0239258
80,220,Ġ,-0.0,4.375,2.734375,2.70703125,-1.640625,-1.66796875,-3.2849877,-3.2514088437487,-1.7884358,-1.8530753351160678,1.0900123,1.1235911562513001,4.15625
81,20,5,-0.0,2.734375,0.3085938,0.30550786199999996,-2.4257812,-2.428867138,-1.7309082,-1.7771493757,-0.8189141,-0.8945685628419419,1.0034668,0.9572256242999999,2.515625
82,151645,<|im_end|>,1.0400391,0.3085938,0.0,0.0,0.7314453,0.7314453000000001,0.7314453,0.7314453000000001,0.7172398,0.7364231571785643,1.0400391,1.0400391,0.2333984
